Model,AUC-ROC,Gini,KS Statistic,Avg Precision,F1 Score,Precision,Recall,Est. Cost ($)
Model A — Logistic Regression,0.6992,0.3985,0.2962,0.1848,0.2394,0.1519,0.5644,38857500
Model B — LightGBM,0.7378,0.4757,0.3547,0.1989,0.2755,0.2131,0.3894,41154500
